address,date,city,movie,rating,stars,state,theater,times,zip,genre
"175 Tremont Street, Boston, MA  02111",6-10-18,Boston,Believer (2018),n/a,5,MA,AMC Loews Boston Common 19,10:25p|4:45p|1:55p|7:35p,2111,romance
"175 Tremont Street, Boston, MA  02111",6-10-18,Boston,Hereditary,R,4,MA,AMC Loews Boston Common 19,1:30p|10:30p|4:30p|7:35p,2111,horror
"175 Tremont Street, Boston, MA  02111",6-10-18,Boston,Hotel Artemis,R,5,MA,AMC Loews Boston Common 19,4:40p|9:45p|2:20p|7:15p|12:00p,2111,adventure
"175 Tremont Street, Boston, MA  02111",6-10-18,Boston,Ocean's 8: The IMAX 2D Experience,PG-13,2,MA,AMC Loews Boston Common 19,1:15p|6:45p|9:30p|4:00p,2111,comedy
"175 Tremont Street, Boston, MA  02111",6-10-18,Boston,Ocean's 8,PG-13,4,MA,AMC Loews Boston Common 19,8:20p|5:45p|12:15p|7:30p|10:15p|4:45p|3:00p|2:00p,2111,thriller
"175 Tremont Street, Boston, MA  02111",6-10-18,Boston,Won't You Be My Neighbor?,PG-13,4,MA,AMC Loews Boston Common 19,9:10p|10:10p|4:20p|3:10p|1:50p|5:30p|7:50p|12:50p|12:00p|6:40p,2111,romance
"175 Tremont Street, Boston, MA  02111",6-10-18,Boston,Action Point,R,2,MA,AMC Loews Boston Common 19,2:15p,2111,thriller
"175 Tremont Street, Boston, MA  02111",6-10-18,Boston,Adrift (2018),PG-13,2,MA,AMC Loews Boston Common 19,2:30p|9:50p|12:05p|4:55p|7:20p,2111,thriller
"175 Tremont Street, Boston, MA  02111",6-10-18,Boston,American Animals,R,4,MA,AMC Loews Boston Common 19,10:00p|1:25p|4:15p|7:05p,2111,action
"175 Tremont Street, Boston, MA  02111",6-10-18,Boston,Upgrade (2018),R,1,MA,AMC Loews Boston Common 19,12:10p|2:40p|5:10p|7:45p|10:15p,2111,horror
"175 Tremont Street, Boston, MA  02111",6-10-18,Boston,How Long Will I Love U,n/a,2,MA,AMC Loews Boston Common 19,4:30p,2111,action
"175 Tremont Street, Boston, MA  02111",6-10-18,Boston,Solo: A Star Wars Story 3D,PG-13,2,MA,AMC Loews Boston Common 19,4:00p,2111,romance
"175 Tremont Street, Boston, MA  02111",6-10-18,Boston,Solo: A Star Wars Story,PG-13,2,MA,AMC Loews Boston Common 19,2:30p|5:30p|8:30p|10:00p|1:00p,2111,comedy
"175 Tremont Street, Boston, MA  02111",6-10-18,Boston,Book Club,PG-13,2,MA,AMC Loews Boston Common 19,4:15p|9:25p|6:50p|1:45p,2111,action
"175 Tremont Street, Boston, MA  02111",6-10-18,Boston,Deadpool 2,R,1,MA,AMC Loews Boston Common 19,1:25p|9:00p|12:20p|6:10p|4:10p|10:20p|3:20p,2111,comedy
"175 Tremont Street, Boston, MA  02111",6-10-18,Boston,Avengers: Infinity War,PG-13,2,MA,AMC Loews Boston Common 19,7:10p|3:50p|12:25p|10:30p,2111,romance
"175 Tremont Street, Boston, MA  02111",6-10-18,Boston,A Quiet Place,PG-13,3,MA,AMC Loews Boston Common 19,1:05p|3:25p|10:20p|5:50p|8:05p,2111,adventure
"395 Artisan Way, Somerville, MA  02145",6-10-18,Boston,Doctor Who: Genesis of the Daleks,R,4,MA,AMC Assembly Row 12,7:00p,2145,comedy
"395 Artisan Way, Somerville, MA  02145",6-10-18,Boston,Hereditary,R,1,MA,AMC Assembly Row 12,9:15p|3:15p|12:15p|6:15p,2145,horror
"395 Artisan Way, Somerville, MA  02145",6-10-18,Boston,Hotel Artemis,R,3,MA,AMC Assembly Row 12,7:25p|12:10p|2:35p|9:50p|5:00p,2145,adventure
"395 Artisan Way, Somerville, MA  02145",6-10-18,Boston,Ocean's 8: The IMAX 2D Experience,PG-13,1,MA,AMC Assembly Row 12,1:30p|9:45p|4:20p|7:00p,2145,comedy
"395 Artisan Way, Somerville, MA  02145",6-10-18,Boston,Ocean's 8,PG-13,1,MA,AMC Assembly Row 12,11:30a11:30a|2:10p|7:45p|5:00p|10:30p,2145,thriller
"395 Artisan Way, Somerville, MA  02145",6-10-18,Boston,Action Point,R,5,MA,AMC Assembly Row 12,9:45p|2:00p,2145,thriller
"395 Artisan Way, Somerville, MA  02145",6-10-18,Boston,Adrift (2018),PG-13,1,MA,AMC Assembly Row 12,7:10p|2:10p|9:40p|4:40p|11:40a11:40a,2145,thriller
"395 Artisan Way, Somerville, MA  02145",6-10-18,Boston,Upgrade (2018),R,5,MA,AMC Assembly Row 12,9:10p|10:10p|11:30a11:30a|3:10p|4:50p,2145,horror
"395 Artisan Way, Somerville, MA  02145",6-10-18,Boston,Solo: A Star Wars Story 3D,PG-13,3,MA,AMC Assembly Row 12,6:00p|12:00p,2145,romance
"395 Artisan Way, Somerville, MA  02145",6-10-18,Boston,Solo: A Star Wars Story,PG-13,2,MA,AMC Assembly Row 12,7:05p|10:15p|12:45p|4:00p,2145,comedy
"395 Artisan Way, Somerville, MA  02145",6-10-18,Boston,Deadpool 2,R,1,MA,AMC Assembly Row 12,6:15p|9:15p|12:30p|3:20p|2:00p|7:20p,2145,comedy
"395 Artisan Way, Somerville, MA  02145",6-10-18,Boston,Avengers: Infinity War 3D,PG-13,1,MA,AMC Assembly Row 12,3:20p|10:00p,2145,thriller
"395 Artisan Way, Somerville, MA  02145",6-10-18,Boston,Avengers: Infinity War,PG-13,1,MA,AMC Assembly Row 12,12:00p|6:40p,2145,romance
"395 Artisan Way, Somerville, MA  02145",6-10-18,Boston,A Quiet Place,PG-13,5,MA,AMC Assembly Row 12,11:45a11:45a|4:20p,2145,adventure
"201 Brookline Ave, Boston, MA  02215",6-10-18,Boston,Doctor Who: Genesis of the Daleks,R,5,MA,Regal Fenway Stadium 13 & RPX,7:00p,2215,comedy
"201 Brookline Ave, Boston, MA  02215",6-10-18,Boston,Jumanji Movie Event,PG-13,4,MA,Regal Fenway Stadium 13 & RPX,6:30p,2215,action
"201 Brookline Ave, Boston, MA  02215",6-10-18,Boston,Hereditary,R,4,MA,Regal Fenway Stadium 13 & RPX,6:30p|3:05p|11:50a11:50a|9:45p,2215,horror
"201 Brookline Ave, Boston, MA  02215",6-10-18,Boston,Ocean's 8,PG-13,1,MA,Regal Fenway Stadium 13 & RPX,3:35p|6:45p|12:15p|12:45p|10:00p|7:15p|4:00p|10:30p,2215,thriller
"201 Brookline Ave, Boston, MA  02215",6-10-18,Boston,Action Point,R,1,MA,Regal Fenway Stadium 13 & RPX,4:35p|11:45a11:45a|2:10p,2215,thriller
